timestamp,sensor_id,location,temperature_c,humidity_pct,co2_ppm,pm25_ugm3,light_lux,noise_db,true_anomaly,anomaly_prediction,anomaly_score
2026-04-01 00:00:00,ENV-01,Indoor Lab A,23.83,70.9,638.69,30.36,0.0,41.1,0,0,0.1454
2026-04-01 00:15:00,ENV-01,Indoor Lab A,24.27,72.74,613.26,27.51,0.0,40.22,0,0,0.2143
2026-04-01 00:30:00,ENV-01,Indoor Lab A,23.63,67.4,584.27,24.26,0.0,42.4,0,0,0.2864
2026-04-01 00:45:00,ENV-01,Indoor Lab A,23.1,68.42,666.31,25.31,2.36,37.04,0,0,0.3298
2026-04-01 01:00:00,ENV-01,Indoor Lab A,23.26,71.47,603.04,27.13,0.0,40.33,0,0,0.2371
2026-04-01 01:15:00,ENV-01,Indoor Lab A,23.24,74.95,633.5,22.81,28.79,37.45,0,0,0.2115
2026-04-01 01:30:00,ENV-01,Indoor Lab A,23.62,67.31,602.5,26.54,25.85,41.57,0,0,0.2229
2026-04-01 01:45:00,ENV-01,Indoor Lab A,23.51,70.6,600.45,23.73,0.0,44.18,0,0,0.1847
2026-04-01 02:00:00,ENV-01,Indoor Lab A,23.76,67.65,647.07,24.64,0.0,42.84,0,0,0.2102
2026-04-01 02:15:00,ENV-01,Indoor Lab A,24.12,72.99,619.38,24.75,11.59,43.94,0,0,0.2465
2026-04-01 02:30:00,ENV-01,Indoor Lab A,23.51,70.71,613.92,21.95,28.44,45.12,0,0,0.2605
2026-04-01 02:45:00,ENV-01,Indoor Lab A,23.78,73.03,651.65,23.45,12.65,45.73,0,0,0.2092
2026-04-01 03:00:00,ENV-01,Indoor Lab A,23.89,74.08,577.97,27.66,3.05,40.31,0,0,0.1809
2026-04-01 03:15:00,ENV-01,Indoor Lab A,24.05,66.9,638.64,26.06,51.73,39.76,0,0,0.1863
2026-04-01 03:30:00,ENV-01,Indoor Lab A,23.76,69.78,667.5,25.75,0.0,43.0,0,0,0.1992
2026-04-01 03:45:00,ENV-01,Indoor Lab A,24.29,72.63,627.35,23.53,0.0,37.23,0,0,0.2452
2026-04-01 04:00:00,ENV-01,Indoor Lab A,24.51,71.11,645.13,23.54,0.0,40.54,0,0,0.1965
2026-04-01 04:15:00,ENV-01,Indoor Lab A,24.37,68.88,640.87,25.17,66.02,42.53,0,0,0.174
2026-04-01 04:30:00,ENV-01,Indoor Lab A,24.79,70.22,596.65,23.57,2.11,49.63,0,0,0.2225
2026-04-01 04:45:00,ENV-01,Indoor Lab A,24.75,70.85,643.27,19.83,40.0,44.74,0,0,0.1477
2026-04-01 05:00:00,ENV-01,Indoor Lab A,25.36,68.31,678.54,18.79,20.54,49.33,0,0,0.249
