timestamp,sensor_id,location,temperature_c,humidity_pct,co2_ppm,pm25_ugm3,light_lux,noise_db,true_anomaly,hour,day_of_week,is_daytime,temperature_c_rollmean_1h,temperature_c_rollstd_1h,humidity_pct_rollmean_1h,humidity_pct_rollstd_1h,co2_ppm_rollmean_1h,co2_ppm_rollstd_1h,pm25_ugm3_rollmean_1h,pm25_ugm3_rollstd_1h,light_lux_rollmean_1h,light_lux_rollstd_1h,noise_db_rollmean_1h,noise_db_rollstd_1h,environmental_risk_index
2026-04-01 00:00:00,ENV-01,Indoor Lab A,23.83,70.9,638.69,30.36,0.0,41.1,0,0,2,0,23.83,0.0,70.9,0.0,638.69,0.0,30.36,0.0,0.0,0.0,41.1,0.0,0.3278
2026-04-01 00:15:00,ENV-01,Indoor Lab A,24.27,72.74,613.26,27.51,0.0,40.22,0,0,2,0,24.049999999999997,0.3111269837220831,71.82,1.3010764773832448,625.975,17.98172544557395,28.935000000000002,2.0152543263816605,0.0,0.0,40.66,0.6222539674441611,0.3208
2026-04-01 00:30:00,ENV-01,Indoor Lab A,23.63,67.4,584.27,24.26,0.0,42.4,0,0,2,0,23.909999999999997,0.32741411087489786,70.34666666666668,2.712661669529264,612.0733333333334,27.22940016477293,27.376666666666665,3.052185009682954,0.0,0.0,41.24,1.0967223896684173,0.2868
2026-04-01 00:45:00,ENV-01,Indoor Lab A,23.1,68.42,666.31,25.31,2.36,37.04,0,0,2,0,23.7075,0.4852748362182653,69.86500000000001,2.4153053637169704,625.6324999999999,35.067042813255085,26.86,2.6978386410853665,0.59,1.18,40.19,2.282951306240819,0.2879
2026-04-01 01:00:00,ENV-01,Indoor Lab A,23.26,71.47,603.04,27.13,0.0,40.33,0,1,2,0,23.565,0.51977559260383,70.0075,2.5116180043947693,616.72,35.17235941284955,26.052500000000002,1.5329356368310674,0.59,1.18,39.9975,2.212003239901182,0.3019
2026-04-01 01:15:00,ENV-01,Indoor Lab A,23.24,74.95,633.5,22.81,28.79,37.45,0,1,2,0,23.3075,0.2264766360282263,70.56,3.399284238385091,621.78,35.95583865428998,24.877499999999998,1.8181194496878719,7.7875,14.045795040984093,39.305,2.529881420146007,0.2991
2026-04-01 01:30:00,ENV-01,Indoor Lab A,23.62,67.31,602.5,26.54,25.85,41.57,0,1,2,0,23.305,0.2217355782608248,70.53750000000001,3.427354421902308,626.3375,30.33206265653557,25.4475,1.9148259276846378,14.25,15.170214237116099,39.0975,2.2045313182926902,0.2941
2026-04-01 01:45:00,ENV-01,Indoor Lab A,23.51,70.6,600.45,23.73,0.0,44.18,0,1,2,0,23.4075,0.18750555547324593,71.0825,3.139653643317999,609.8725,15.791126991657903,25.052500000000002,2.106060698713754,13.66,15.818809479013689,40.8825,2.7948449569400644,0.3078
2026-04-01 02:00:00,ENV-01,Indoor Lab A,23.76,67.65,647.07,24.64,0.0,42.84,0,2,2,0,23.5325,0.2202082347839561,70.1275,3.5381763193298656,620.88,23.096823735454798,24.43,1.5927544276085581,13.66,15.818809479013689,41.51,2.9088944062421107,0.3095
2026-04-01 02:15:00,ENV-01,Indoor Lab A,24.12,72.99,619.38,24.75,11.59,43.94,0,2,2,0,23.7525,0.26550266790875726,69.6375,2.6791214355953747,617.35,21.552507974711467,24.915,1.175825950839096,9.36,12.276158465361496,43.1325,1.193911638271429,0.3301
